rank,title,author,year
1,Don Quixote,Miguel de Cervantes,1605
2,In Search of Lost Time,Marcel Proust,1913
3,Ulysses,James Joyce,1922
4,The Odyssey,Homer,-700
5,War and Peace,Leo Tolstoy,1869
6,Moby Dick,Herman Melville,1851
7,The Divine Comedy,Dante Alighieri,1472
8,Hamlet,William Shakespeare,1601
9,The Adventures of Huckleberry Finn,Mark Twain,1884
10,The Great Gatsby,F. Scott Fitzgerald,1925
11,The Iliad,Homer,-700
12,One Hundred Years of Solitude,Gabriel Garcia Marquez,1967
13,Madame Bovary,Gustave Flaubert,1857
14,Crime and Punishment,Fyodor Dostoyevsky,1866
15,The Brothers Karamazov,Fyodor Dostoyevsky,1880
16,Pride and Prejudice,Jane Austen,1813
17,Wuthering Heights,Emily Brontë,1847
18,The Sound and the Fury,William Faulkner,1929
19,Lolita,Vladimir Nabokov,1955
20,Nineteen Eighty Four,George Orwell,1949
21,Alice's Adventures in Wonderland,Lewis Carroll,1865
22,To the Lighthouse,Virginia Woolf,1927
23,Great Expectations,Charles Dickens,1861
24,Anna Karenina,Leo Tolstoy,1877
25,The Catcher in the Rye,J. D. Salinger,1945
26,Middlemarch,George Eliot,1871
27,Gulliver's Travels,Jonathan Swift,1726
28,The Aeneid,Virgil,-19
29,Heart of Darkness,Joseph Conrad,1899
30,One Thousand and One Nights,India/Iran/Iraq/Egypt,1706
31,The Canterbury Tales,Geoffrey Chaucer,1380
32,The Stranger,Albert Camus,1946
33,The Stories of Anton Chekhov,Anton Chekhov,1961
34,The Grapes of Wrath,John Steinbeck,1939
35,Catch-22,Joseph Heller,1961
36,The Red and the Black,Stendhal,1830
37,The Trial,Franz Kafka,1925
38,Leaves of Grass,Walt Whitman,1855
39,"Absalom, Absalom!",William Faulkner,1936
40,Oedipus the King,Sophocles,-429
41,Candide,Voltaire,1759
42,David Copperfield,Charles Dickens,1850
43,Invisible Man,Ralph Ellison,1952
44,Mrs. Dalloway,Virginia Woolf,1925
45,Beloved,Toni Morrison,1987
46,Jane Eyre,Charlotte Brontë,1847
47,The Complete Tales and Poems of Edgar Allan Poe,Edgar Allan Poe,1975
48,As I Lay Dying,William Faulkner,1930
49,Faust,Johann Wolfgang von Goethe,1808
50,The Complete Stories of Franz Kafka,Franz Kafka,1971
51,A Portrait of the Artist as a Young Man,James Joyce,1917
52,Paradise Lost,John Milton,1667
53,Things Fall Apart,Chinua Achebe,1958
54,To Kill a Mockingbird,Harper Lee,1960
55,Les Misérables,Victor Hugo,1862
56,Dead Souls,Nikolai Gogol,1842
57,Collected Fiction,Jorge Luis Borges,1935
58,Tristram Shandy,Laurence Sterne,1759
59,The Magic Mountain,Thomas Mann,1924
60,Animal Farm,George Orwell,1946
61,The Sun Also Rises,Ernest Hemingway,1926
62,Antigone,Sophocles,-442
63,The Idiot,Fyodor Dostoyevsky,1868
64,Midnight's Children,Salman Rushdie,1981
65,Emma,Jane Austen,1815
66,A Passage to India,E.M. Forster,1924
67,The Metamorphosis,Franz Kafka,1915
68,Gargantua and Pantagruel,Francois Rabelais,1532
69,The Portrait of a Lady,Henry James,1881
70,The Castle,Franz Kafka,1926
71,The Old Man and the Sea,Ernest Hemingway,1952
72,Fathers and Sons,Ivan Turgenev,1862
73,Tom Jones,Henry Fielding,1749
74,Brave New World,Aldous Huxley,1931
75,Fairy Tales and Stories,Hans Christian Anderson,1843
76,Lord of the Flies,William Golding,1954
77,Oresteia,Aeschylus,-458
78,Frankenstein,Mary Shelley,1831
79,Decameron,Giovanni Boccaccio,1350
80,A Farewell to Arms,Ernest Hemingway,1929
81,The Scarlet Letter,Nathaniel Hawthorne,1850
82,The Tale of Genji,Murasaki Shikibu,1000
83,Vanity Fair,William Makepeace Thackeray,1847
84,Oedipus at Colonus,Sophocles,-401
85,Robinson Crusoe,Daniel Defoe,1719
86,Waiting for Godot,Samuel Beckett,1953
87,Metamorphoses,Ovid,8
88,Cousin Bette,Honoré de Balzac,1846
89,The Tin Drum,Günter Grass,1959
90,Pale Fire,Vladimir Nabokov,1962
91,For Whom the Bell Tolls,Ernest Hemingway,1940
92,Father Goriot,Honoré de Balzac,1835
93,A Doll's House,Henrik Ibsen,1879
94,Under the Volcano,Malcolm Lowry,1947
95,Journey to the End of The Night,Louis-Ferdinand Céline,1932
96,Buddenbrooks,Thomas Mann,1901
97,The Lord of the Rings,J. R. R. Tolkien,1954
98,Poems of Emily Dickinson,Emily Dickinson,1955
99,Sons and Lovers,D. H. Lawrence,1913
100,Collected Poems of W. B. Yeats,W. B. Yeats,1933
101,Stories of Ernest Hemingway,Ernest Hemingway,1987
102,The Waste Land,T. S. Eliot,1922
103,The Possessed,Fyodor Dostoevsky,1872
104,Tess of the d'Urbervilles,Thomas Hardy,1891
105,The Good Soldier,Ford Madox Ford,1915
106,A Sentimental Education,Gustave Flaubert,1869
107,Slaughterhouse-Five,Kurt Vonnegut,1969
108,On the Road,Jack Kerouac,1957
109,Medea,Euripides,-431
110,Electra,Sophocles,-409
111,The Little Prince,Antoine de Saint-Exupéry,1943
112,Charlotte's Web,E. B. White,1952
113,Nostromo,Joseph Conrad,1904
114,Native Son,Richard Wright,1940
115,The Age of Innocence,Edith Wharton,1920
116,Gone With the Wind,Margaret Mitchell,1937
117,Household Tales,Brothers Grimm,1812
118,The Complete Stories of Flannery O'Connor,Flannery O'Connor,1971
119,The Master and Margarita,Mikhail Bulgakov,1966
120,Epic of Gilgamesh,Unknown,-600
121,The Flowers of Evil,Charles Baudelaire,1857
122,Twenty Thousand Leagues Under the Sea,Jules Verne,1870
123,Treasure Island,Robert Louis Stevenson,1881
124,King Lear,William Shakespeare,1608
125,Hunger,Knut Hamsun,1890
126,All the King's Men,Robert Penn Warren,1946
127,The Charterhouse of Parma,Stendhal,1839
128,The Plague,Albert Camus,1947
129,De Rerum Natura,Lucretius,-55
130,The Color Purple,Alice Walker,1982
131,Steppenwolf,Hermann Hesse,1927
132,An American Tragedy,Theodore Dreiser,1925
