date,plane_type,country,airline,fat,px,phase,cause
1993-01-06,Dash 8-311,France,Lufthansa Cityline,4,20,approach,pilot & ATC error
1993-01-09,Hawker Siddeley HS-748-234 Srs,Indonesia,Bouraq Indonesia,15,29,initial_climb,engine failure
1993-01-31,Shorts SC.7 Skyvan 3-100,Indonesia,Pan Malaysian Air Transport,14,29,en_route,low visibility
1993-02-08,Tupolev 154M,Iran,Iran Air Tours,131,67,en_route,"pilot error, collision"
1993-02-28,Dornier 228-201,Taiwan,Formosa Airlines,6,22,approach,bad weather
1993-03-05,Fokker 100,Macedonia,Palair Macedonian,83,56,initial_climb,maintenance error
1993-03-19,Beechcraft 200 Super King Air,Norway,West Aviation,3,19,approach,bad weather
1993-03-23,Embraer 110C Bandeirante,Brazil,Oeste Linhas Aéreas,6,22,en_route,bad weather
1993-04-06,McDonnell-Douglas MD-11,USA,China Eastern Airlines,2,17,en_route,design flaw
1993-04-23,Antonov 26,Mongolia,MIAT Mongolian Airlines,32,38,en_route,pilot & crew error
1993-04-26,Boeing 737 2AB,India,Indian Airlines,55,47,takeoff,pilot error
1993-05-19,Boeing 727-46,Colombia,SAM Colombia,132,67,en_route,pilot & ATC error
1993-06-17,Antonov 26B,Georgia,Tajikistan Airlines,41,42,en_route,turbulence
1993-07-01,Fokker F-28 Fellowship 3000,Indonesia,Merpati Nusantara,41,42,approach,unknown
1993-06-09,Pilatus BN-2A-20 Islander,Papua New Guinea,Southwest Air,9,25,approach,engine failure
1993-07-23,BAe 146-300,China,China Northwest Airlines,55,47,takeoff,mechanical failure
1993-07-26,Boeing 737-5L9,Korea,Asiana Airlines,68,51,approach,bad weather
1993-06-28,Beechcraft 200 Super King Air,Namibia,Trans Namibia Aviation,3,19,initial_climb,unknown
1993-07-31,Dornier 228-101,Nepal,Everest Air,19,32,approach,unknown
1993-08-26,Let L-410UVP-E,Russia,Sakha Avia,24,34,landing,overload
1993-08-28,Yakovlev 40,Tajikistan,Tajikistan Airlines,82,55,takeoff,overload
1993-09-14,Airbus A320,Poland,Lufthansa,2,17,landing,"crew error, design flaws"
1993-09-21,Tupolev-134A,Georgia,Transair Georgia,27,36,approach,heat seeking missile
1993-09-22,Tupolev-154B,Georgia,Transair Georgia,108,62,approach,shot down
1993-09-23,Tupolev-154B-2,Georgia,Orbi Georgian Airways,1,15,grounded,mortar or artillery fire
1993-10-26,McDonnell Douglas MD-82,China,China Eastern Airlines,2,17,landing,wet runway
1993-10-27,de Havilland Canada DHC-6-300 Twin Otter,Norway,Widerøe,6,22,approach,pilot & company error
1993-11-10,Hawker Siddeley HS-748-234 Srs,Canada,Air Manitoba,7,23,initial_climb,pilot & crew error
1993-11-13,McDonnell-Douglas MD-82,China,China Northern Airlines,12,27,approach,autopilot failure
1993-11-20,Yakovlev Yak-42,Macedonia,Avioimpex,116,64,approach,pilot error
1993-12-01,Jetstream 31,USA,Northwest Airlink,18,31,approach,pilot & company error
1993-12-03,BN-2A-20 Islander,Canada,Arctic Wings and Rotors,7,23,en_route,engine failure
1993-12-09,DHC-6 Twin Otter 300,Senegal,Air Senegal,3,19,approach,pilot error
1993-12-13,Harbin Yunshuji Y-12-II,Laos,Lao Aviation,18,31,approach,low visibility
1993-12-26,Antonov 26B,Armenia,Kuban Airlines,35,40,landing,overload
1994-01-03,Tupolev154M,Russia,Baikal Airlines,125,66,en_route,crew & company error
1994-01-07,British Aerospace 4101 Jetstream,USA,"Atlantic Coast Airlines, operating for United Express",5,21,approach,pilot & crew error
1994-02-25,Yakovlev 40,Peru,Expresso Aéreo,31,38,en_route,pilot error
1994-05-07,Embraer 110EJ Bandeirante,Brazil,Rico Linhas Aéreas,8,24,landing,unknown
