rank,title,author,year
1,Confessions,Augustine,398
2,Essays,Michel de Montaigne,1580
3,The Prince,Niccolo Machiavelli,1532
4,The Interpretation of Dreams,Sigmund Freud,1899
5,On the Origin of Species,Charles Darwin,1859
6,Walden,Henry David Thoreau,1854
7,The Republic,Plato,-380
8,Democracy in America,Alexis de Tocqueville,1840
9,The Complete Works of Plato,Plato,-347
10,Pensées,Blaise Pascal,1670
11,Communist Manifesto,Karl Marx and Friedrich Engels,1848
12,The Histories of Herodotus,Herodotus,-420
13,The Diary of a Young Girl,Anne Frank,1944
14,Silent Spring,Rachel Carson,1962
15,The Autobiography of Malcolm X,Alex Haley,1965
16,Meditations,Marcus Aurelius,167
17,Relativity,Albert Einstein,1917
18,The History of the Peloponnesian War,Thucydides,-450
19,"The General Theory of Employment, Interest and Money",John Maynard Keynes,1936
20,Leviathan,Thomas Hobbes,1651
21,Thus Spake Zarathustra,Friedrich Nietzsche,1883
22,The Elements of Style,"William Strunk, Jr and E. B. White",1918
23,Das Kapital,Karl Marx,1867
24,Civilization and Its Discontents,Sigmund Freud,1929
25,The Confessions of Jean-Jacques Rousseau,Jean-Jacques Rousseau,1782
26,Homage to Catalonia,George Orwell,1938
27,Fear and Loathing in Las Vegas: A Savage Journey to the Heart of the American Dream,Hunter S. Thompson,
28,The Art of War,Sun Zi,-200
29,The Second Sex,Simone de Beauvoir,1949
30,Summa Theologica,Thomas Aquinas,1274
31,"Speak, Memory",Vladimir Nabokov,1940
32,The Structure of Scientific Revolutions,Thomas Kuhn,1962
33,Pragmatism,William James,1907
34,Analects,Confucius,-350
35,Tao Te Ching,Lao Tsu,-300
36,The Essential Writings of Ralph Waldo Emerson,Ralph Waldo Emerson,1882
37,The Double Helix: A Personal Account of the Discovery of the Structure of DNA,James D. Watson,1968
38,Corpus Aristotelicum,Aristotle,-400
39,The Principles of Psychology,William James,1890
40,Philosophical Investigations,Ludwig Wittgenstein,1953
41,Beyond Good and Evil,Friedrich Nietzsche,1886
42,On Liberty,John Stuart Mill,1859
43,Dialogue Concerning the Two Chief World Systems,Galileo,1632
44,Principia Mathematica,Issac Newton,1687
45,The Wealth of Nations,Adam Smith,1776
46,In Cold Blood,Truman Capote,1966
47,A Room of One's Own,Virginia Woolf,1929
48,The Civil War,Shelby Foote,1974
49,The Life of Samuel Johnson,James Boswell,1823
50,Annals,Cornelius Tacitus,120
51,The Right Stuff,Tom Wolfe,1979
52,Civil Disobedience,Henry David Thoreau,1849
53,The Federalist Papers,"Alexander Hamilton, James Madison, John Jay",1788
54,Parallel Lives,Plutarch,120
55,Three Essays on the Theory of Sexuality,Sigmund Freud,1905
56,The Second World War,Winston Churchill,1953
57,The Education of Henry Adams,Henry Adams,1918
58,R. E. Lee,Douglas Southall Freeman,1934
59,The Decline and Fall of the Roman Empire,Edward Gibbon,1776
60,Discourse on Method,Rene Descartes,1637
61,The Gulag Archipelago,Aleksandr Solzhenitsyn,1973
62,Mere Christianity,C. S. Lewis,1942
63,Out of Africa,Isak Dinesen,1937
64,Orthodoxy,G. K. Chesterton,1908
65,The Seven Storey Mountain,Thomas Merton,1948
66,Autobiographies,W. B. Yeats,1926
67,The Praise of Folly,Erasmus,1509
68,Institutes of the Christian Religion,John Calvin,1536
69,The Liberal Imagination,Lionel Trilling,1950
70,The Golden Bough,James George Frazer,1890
71,If This Is a Man,Primo Levi,1947
72,A Brief History of Time,Stephen Hawking,
73,On the Genealogy of Morality,Friedrich Nietzsche,1887
74,On the Revolutions of the Heavenly Spheres,Nicolaus Copernicus,1543
75,Hippocratic Corpus,Hippocrates,-300
76,The Varieties of Religious Experience,William James,1902
77,The Waning of the Middle Ages,Johan Huizinga,1919
78,The Constitution of Liberty,Friedrich A. Hayek,1960
79,Capitalism and Freedom,Milton Friedman,1962
80,Modern Times,Paul Johnson,1983
81,Common Sense,Thomas Paine,1775
82,An Enquiry Concerning Human Understanding,David Hume,1748
83,Selected Essays of T. S. Eliot,T. S. Eliot,1932
84,"Capitalism, Socialism, and Democracy",Joseph Schumpeter,1942
85,The Origins of Totalitarianism,Hannah Arendt,1951
86,Black Boy,Richard Wright,1945
87,I Ching,China,-1400
88,Quotations from Chairman Mao,Mao,1964
89,A Mathematician's Apology,G. H. Hardy,1940
90,Words,Jean Paul Sartre,1963
91,A Study of History,Arnold J. Toynbee,1961
92,Ethics,Baruch de Spinoza,1676
93,The Abolition of Man,C. S. Lewis,1943
94,The Quest for Community,Robert Nisbet,1953
95,Up from Slavery,Booker T. Washington,1901
96,Aspects of the Novel,E. M. Forster,1927
97,Collected Essays of George Orwell,George Orwell,1961
98,The Harmony of the Worlds,Johannes Kepler,1619
99,A Vindication of the Rights of Woman,Mary Wollstonecraft,1798
100,Euclid's Elements,Euclid,-280
101,Enneads,Plotinus,250
102,Two Treatises of Government,John Locke,1689
103,The Myth of Sisyphus,Albert Camus,1942
104,The Making of the Atomic Bomb,Richard Rhodes,1988
105,The Death and Life of Great American Cities,Jane Jacobs,1961
106,Black Lamb and Grey Falcon,Rebecca West,1941
107,The Frontier in American History,Frederick Jackson Turner,1920
108,The Electric Kool-Aid Acid Test,Tom Wolfe,1968
109,Life on the Mississippi,Mark Twain,1883
110,The Unconscious,Sigmund Freud,1890
111,Rights of Man,Thomas Paine,1791
112,The Snow Leopard,Peter Matthiessen,1978
113,"Roll, Jordan, Roll",Eugene Genovese,1972
114,Apology,Plato,-399
115,The Conservative Mind,Russell Kirk,1953
116,Moveable Feast,Ernest Hemingway,1964
117,The Open Society,Karl Popper,1945
118,Samuel Johnson,Walter Jackson Bate,1977
119,Future Shock: The Third Wave,Alvin Toffler,1980
120,Let Us Now Praise Famous Men,James Agee,1941
121,Patriotic Gore,Edmund Wilson,1962
122,Memoirs From Beyond the Grave,François René De Chateaubriand,1849
123,Witness,Whittaker Chambers,1952
124,Jefferson and His Time,Dumas Malone,1948
125,Journals: 1889-1913,André Gide,
126,History of My Life,Giacomo Casanova,1822
127,The Road to Serfdom,Friedrich von Hayek,1944
128,Encyclopedia Britannica,Encyclopedia Britannica,1771
129,Poetics,Aristotle,-335
130,Genetics and the Origin of Species,Theodosius Dobzhansky,1937
131,Zen and the Art of Motorcycle Maintenance,Robert M. Pirsig,1974
132,The Face of Battle,John Keegan,1976
133,Selected Papers on Hysteria,Sigmund Freud,1912
134,The Nature of Life,C. H. Waddington,1961
135,Science and the Modern World,Alfred North Whitehead,1925
136,The Acquisitive Society,R. H. Tawney,1921
137,On Narcissism,Sigmund Freud,1914
138,Essays in Sociology,Max Weber,1958
139,"Inhibitions, Symptoms, and Anxiety",Sigmund Freud,1893
140,A Dictionary of the English Language,Samuel Johnson,1755
141,"Observations on ""Wild"" Psycho-Analysis",Sigmund Freud,1952
142,Instincts and Their Vicissitudes,Sigmund Freud,1915
143,The Origin and Development of Psycho-Analysis,Sigmund Freud,1952
144,The Future Prospects of Psycho-Analytic Therapy,Sigmund Freud,1910
145,Scientific Autobiography and Other Papers,Max Planck,1949
146,The Ego and the Id,Sigmund Freud,1923
147,What Is Metaphysics?,Martin Heidegger,1930
148,New Introductory Lectures on Psycho-Analysis,Sigmund Freud,1933
149,Repression,Sigmund Freud,1950
150,Science and Hypothesis,Henri Poincaré,1905
151,Atomic Theory and the Description of Nature,Niels Bohr,1952
152,Structural Anthropology,Claude Lévi-Strauss,1963
153,The Problems of Philosophy,Bertrand Russell,1912
154,The Word of God and the Word of Man,Karl Barth,1952
155,Discussion with Einstein on Epistemology,Niels Bohr,1965
156,Almagest,Ptolemy,150
157,Epitome of Copernican Astronomy,Johannes Kepler,1617
158,The Expanding Universe,Arthur Eddington,1948
159,Experience in Education,John Dewey,1938
160,Physics and Philosophy,Werner Heisenberg,1934
161,Beyond the Pleasure Principle,Sigmund Freud,1920
162,Rameau's Nephew,Denis Diderot,1805
163,The Theory of the Leisure Class,Thorstein Veblen,1899
164,Thoughts for the Times on War and Death,Sigmund Freud,1952
165,Group Psychology and the Analysis of the Ego,Sigmund Freud,1922
166,An Introduction to Metaphysics,Henri Bergson,1903
167,A General Introduction to Psycho-Analysis,Sigmund Freud,1952
168,An Introduction to Mathematics,Alfred North Whitehead,1910
169,What Is Life?,Erwin Schrödinger,1929
170,Fear and Trembling,Søren Kierkegaard,1843
171,The Affluent Society,John Kenneth Galbraith,1958
172,Profiles in Courage,John F. Kennedy,1955
173,The Autobiography of Benjamin Franklin,Benjamin Franklin,1771
174,An Essay Concerning Human Understanding,John Locke,1690
175,An American Dilemma,Gunnar Myrdal,1944
176,Hard Times: An Oral History of the Great Depression,Studs Terkel,1970
177,Oxford English Dictionary,Oxford University Press,1884
178,The Voyage of the Beagle,Charles Darwin,1839
179,The Bookseller of Kabul,Asne Seierstad,2003
180,The Subjection of Women,John Stuart Mill,1869
181,An Autobiography of Anthony Trollope,Anthony Trollope,1883
182,Basic Documents in American History,Richard Brandon Morris,1956
183,The Pillow Book,Sei Shōnagon,1002
184,The Meaning of Truth,William James,1909
185,Mencius,Mencius,-400
186,Democratic Vistas,Walt Whitman,1871
187,Records of the Grand Historian,Sima Qian,-91
188,Mythology,Edith Hamilton,1942
189, The Feynman Lectures on Physics,Richard P. Feynman,1995
190,Man's Search for Meaning,Victor Frankl,1984
191,Tristes Tropiques,Claude Levi-Strauss,1955
192,Angela's Ashes: A Memoir,Frank McCourt,1996
193,Either Or,Soren Kierkegaard,1843
194,The Seven Pillars of Wisdom,T.E. Lawrence,1926
195,The Autobiography of Alice B. Toklas,Gertrude Stein,1933
196,The City in History,Lewis Mumford,1961
197,The Power Broker,Robert Caro,1974
198,The Habit of Being,Flannery O'Connor,1978
199,The Fire Next Time,James Baldwin,1963
200,The Lives of the Twelve Caesars,Suetonius,121
201,Critique of Pure Reason,Immanuel Kant,1781
202,Geography,Ptolemy,150
203,A Fire on the Moon,Norman Mailer,1970
204,The Artist's Way,Julia Cameron,1992
205,Kafka's Other Trial,Elias Canetti,1974
206,The Voices of Marrakesh: A Record of a Visit,Elias Canetti,1978
207,Histories,Cornelius Tacitus,110
208,The Tipping Point,Malcolm Gladwell,2000
209,The Revolt of the Masses,José Ortega y Gasset,1929
210,The George Sand-Gustave Flaubert Letters,Gustave Flaubert,1921
211,The Color of Water: A Black Man's Tribute to His White Mother,James McBride,1995
212,Battle Cry of Freedom,James M. McPherson,1988
213,Good-Bye to All That,Robert Graves,1929
214,Memoirs of Cardinal De Retz,Cardinal de Retz,1717
215,Hiroshima,John Hersey,1946
216,Seven Years in Tibet,Heinrich Harrer,1952
217,The Triumph of the Therapeutic,Philip Rieff,1966
218,Christ Stopped at Eboli: The Story of a Year,Carlo Levi,1945
219,The Kon-Tiki Expedition: By Raft Across the South Seas,Thor Heyerdahl,1948
220,The Great Chain of Being,Arthur Lovejoy,1936
221,Persons and Places,George Santayana,1944
222,After Virtue,Alasdair MacIntyre,1981
223,Understanding Poetry,Cleanth Brooks & Robert Penn Warren,1938
224,The Nature and Destiny of Man,Reinhold Niebuhr,1941
225,Letters from an American Farmer,J. Crevecoeur,1782
226,The New Science of Politics,Eric Voegelin,1952
227,Natural Right and History,Leo Strauss,1953
228,I Will Bear Witness,Victor Klemperer,1998
229,Teacher in America,Jacques Barzun,1945
230,Prejudices,H. L. Mencken,1919
231,"Protestant, Catholic, Jew",Will Herberg,1955
232,Essays and Aphorisms,Arthur Schopenhauer,1860
233,Religion and the Rise of Western Culture,Christopher Dawson,1950
234,The Twilight of the Idols and The Antichrist,Friedrich Nietzsche,1889
235,The Whig Interpretation of History,Herbert Butterfield,1931
236,The Stripping of the Altars,Eamon Duffy,1992
237,The Man Who Mistook His Wife for a Hat,Oliver Sacks,
238,Lost in the Cosmos,Walker Percy,1983
239,Homo Ludens: A Study of the Play-Element in Culture,Johan Huizinga,1938
240,A History of Philosophy,Frederick Charles Copleston,1946
241,The Immortal Life of Henrietta Lacks,Rebecca Skloot,
242,The Memoirs of the Duke of Saint-Simon on the Reign of Louis XIV. and the Regency,Louis de Rouvroy Saint-Simon (duc de),1755
243,Rationalism in Politics,Michael Oakeshott,1962
244,Economy and Society,Max Weber,1922
245,Eminent Victorians,Lytton Strachey,1918
246,Sociobiology,Edward O. Wilson,1975
247,Centesimus Annus,Pope John Paul II,1991
248,The Tao of Physics,Fritjof Capra,1975
249,The World as Will and Idea,Arthur Schopenhauer,1818
250,Titi Livi Ab urbe condita libri,Livy,-9
251,The Woman Warrior: Memoirs of a Girlhood Among Ghosts,Maxine Hong Kingston,1975
252,The Pursuit of the Millennium,Norman Cohn,1957
253,Slouching Towards Bethlehem,Joan Didion,1968
254,The Great Terror,Robert Conquest,1968
255,Chronicles of Wasted Time,Malcolm Muggeridge,1972
